Compound_CID,Compound,Formula,Molecular_Weight,CAS No.,External Link to ChEMBL,Source_Chemical,Source_Chemical_URL
162970770,"(2R,3R,4S,5S,6R)-2-[[(1S,3aR,4R,5R,7aR)-7a-methyl-5-propan-2-yl-4-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-1,2,3,3a,4,5,6,7-octahydroinden-1-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",C₂₇H₄₈O₁₂,564.314576976,,,"(2R,3R,4S,5S,6R)-2-[[(1S,3aR,4R,5R,7aR)-7a-methyl-5-propan-2-yl-4-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-1,2,3,3a,4,5,6,7-octahydroinden-1-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",https://www.wikidata.org/wiki/Q104950782
162984487,"(1S,2S,5R,6R,7S,8R,11R)-7,11-dihydroxy-5-(hydroxymethyl)-6-methyl-11-propan-2-yl-9-oxatricyclo[6.2.1.02,6]undecan-10-one",C₁₅H₂₄O₅,284.162373868,,,"(1S,2S,5R,6R,7S,8R,11R)-7,11-dihydroxy-5-(hydroxymethyl)-6-methyl-11-propan-2-yl-9-oxatricyclo[6.2.1.02,6]undecan-10-one",https://www.wikidata.org/wiki/Q105242475
162989721,"(2R,3S,4S,5S,6S)-2-[[(1R,1aR,4S,4aS,7R,7aS,7bS)-4-hydroxy-1-(hydroxymethyl)-1,7-dimethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",,416.24,,,NPC273109,https://bidd.group/NPASS/compound.php?compoundID=NPC273109
162989722,"(2R,3R,4S,5S,6R)-2-[[(1S,1aR,4S,4aS,7R,7aS,7bS)-4-hydroxy-1-(hydroxymethyl)-1,7-dimethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",,416.24,,,NPC29826,https://bidd.group/NPASS/compound.php?compoundID=NPC29826
163033046,"(2R,3R,4S,5S,6R)-2-[[(8S,8aR)-8-propan-2-yl-5-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-3,4,6,7,8,8a-hexahydronaphthalen-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",C₂₇H₄₄O₁₂,560.283276848,,,"(2R,3R,4S,5S,6R)-2-[[(8S,8aR)-8-propan-2-yl-5-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-3,4,6,7,8,8a-hexahydronaphthalen-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",https://www.wikidata.org/wiki/Q105291288
163067475,"(1S,2R,3R,5R,6S,8S)-3-hydroxy-8-(hydroxymethyl)-5-(2-hydroxypropan-2-yl)-2-methyltricyclo[4.4.0.02,8]decan-7-one",C₁₅H₂₄O₄,268.167459248,,,"(1S,2R,3R,5R,6S,8S)-3-hydroxy-8-(hydroxymethyl)-5-(2-hydroxypropan-2-yl)-2-methyltricyclo[4.4.0.02,8]decan-7-one",https://www.wikidata.org/wiki/Q105350733
163081696,"(1S,2R,3R,5S,6S,8R,9S)-3,9-dihydroxy-2,8-dimethyl-5-propan-2-yltricyclo[4.4.0.02,8]decan-7-one",C₁₅H₂₄O₃,252.172544628,,,"(1S,2R,3R,5S,6S,8R,9S)-3,9-dihydroxy-2,8-dimethyl-5-propan-2-yltricyclo[4.4.0.02,8]decan-7-one",https://www.wikidata.org/wiki/Q105179386
163087350,"(1R,2R,5R,6S,9S,15R,16S)-15-methyl-16-propan-2-yl-3,14-dioxa-11-azapentacyclo[7.5.1.12,5.01,11.06,15]hexadecan-4-one",,291.18,,,NPC297685,https://bidd.group/NPASS/compound.php?compoundID=NPC297685
163090891,"(1S,2S,5R,6R,7R,8S,11S)-7-hydroxy-6-methyl-11-propan-2-yl-5-[[(2S,3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one",C₂₁H₃₄O₉,430.220282668,,,"(1S,2S,5R,6R,7R,8S,11S)-7-hydroxy-6-methyl-11-propan-2-yl-5-[[(2S,3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one",https://www.wikidata.org/wiki/Q105126302
163091277,"(1S,2S,5R,7R,8S,9S,12S)-8-hydroxy-5-(hydroxymethyl)-12-[(2R)-1-hydroxypropan-2-yl]-10-oxatetracyclo[7.2.1.02,7.05,7]dodecan-11-one",C₁₅H₂₂O₅,282.146723804,,,"(1S,2S,5R,7R,8S,9S,12S)-8-hydroxy-5-(hydroxymethyl)-12-[(2R)-1-hydroxypropan-2-yl]-10-oxatetracyclo[7.2.1.02,7.05,7]dodecan-11-one",https://www.wikidata.org/wiki/Q104954475
163103664,"(1R,2S,5R,6S,7S,8R,11R)-11-[(2R)-1,2-dihydroxypropan-2-yl]-7-hydroxy-5-(hydroxymethyl)-6-methyl-9-oxatricyclo[6.2.1.02,6]undecan-10-one",C₁₅H₂₄O₆,300.157288488,,,"(1R,2S,5R,6S,7S,8R,11R)-11-[(2R)-1,2-dihydroxypropan-2-yl]-7-hydroxy-5-(hydroxymethyl)-6-methyl-9-oxatricyclo[6.2.1.02,6]undecan-10-one",https://www.wikidata.org/wiki/Q104959449
163104943,"(1S,2R,3S,4S,5R,6R,7S,8R,10R)-3-(hydroxymethyl)-10-[(2S)-1-hydroxypropan-2-yl]-7-methyltetracyclo[4.4.0.02,4.03,7]decane-5,8-diol",C₁₅H₂₄O₄,268.167459248,,,"(1S,2R,3S,4S,5R,6R,7S,8R,10R)-3-(hydroxymethyl)-10-[(2S)-1-hydroxypropan-2-yl]-7-methyltetracyclo[4.4.0.02,4.03,7]decane-5,8-diol",https://www.wikidata.org/wiki/Q105156404
163106181,"(1R,2S,5R,6S,7S,8R,11S)-7-hydroxy-5-(hydroxymethyl)-11-(2-hydroxypropan-2-yl)-6-methyl-9-oxatricyclo[6.2.1.02,6]undecan-10-one",C₁₅H₂₄O₅,284.162373868,,,"(1R,2S,5R,6S,7S,8R,11S)-7-hydroxy-5-(hydroxymethyl)-11-(2-hydroxypropan-2-yl)-6-methyl-9-oxatricyclo[6.2.1.02,6]undecan-10-one",https://www.wikidata.org/wiki/Q105275354
16522,"Methyl 3,4-Dimethoxybenzoate",,196.07,,,Veratric Acid Methyl Ester,https://bidd.group/NPASS/compound.php?compoundID=NPC154275
176096,Moscatilin,C17H20O5,304.3377,108853-14-1,CHEMBL374047,,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00015530
185914,Dihydroresveratrol,,230.09,,,Dihydroresveratrol,https://bidd.group/NPASS/compound.php?compoundID=NPC30506
194774,Moscatin,,240.08,,,Moscatin,https://bidd.group/NPASS/compound.php?compoundID=NPC38017
21574990,"3,3',5-Trihydroxybibenzyl",C₁₄H₁₄O₃,230.094,,,"3,3',5-Trihydroxybibenzyl",https://www.wikidata.org/wiki/Q27159943
21668724,2-(3-Hydroxy-4-methoxyphenyl)ethyl 3-O-(6-deoxyhexopyranosyl)hexopyranoside,,476.19,,,Darendoside A,https://bidd.group/NPASS/compound.php?compoundID=NPC35731
21678577,Lusianthridin,C14H12O3,228.24327,,,NPC142588,https://bidd.group/NPASS/compound.php?compoundID=NPC142588
222284,Beta-Sitosterol,,414.39,,,Beta-Sitosterol,https://bidd.group/NPASS/compound.php?compoundID=NPC230301
23304338,"(2R,3R,4R,5R,6R)-2-[[(1S,1aR,3aR,4S,7R,7aS,7bS)-4-hydroxy-1-(hydroxymethyl)-1,7-dimethyl-2,3,3a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[a]naphthalen-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",,416.24,,,NPC169439,https://bidd.group/NPASS/compound.php?compoundID=NPC169439
23304340,"(2R,5S,6S,7R,11S)-7,11-dihydroxy-6-methyl-11-propan-2-yl-5-[[(2R,3R,4R,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one",,446.22,,,NPC275003,https://bidd.group/NPASS/compound.php?compoundID=NPC275003
237332,5-Hydroxymethylfurfural,,486.26,,,5-Hydroxymethyl-Furfural,https://bidd.group/NPASS/compound.php?compoundID=NPC107482
23900101,Epheneranthol C,C15H12O4,256.25338,,CHEMBL254188,Fimbriol B,https://bidd.group/NPASS/compound.php?compoundID=NPC151656
24762423,"2,8-Dihydroxy-3,4,7-Trimethoxyphenanthrene",C17H16O5,300.30594,,CHEMBL254598,"2,5,6-Trimethoxyphenanthrene-1,7-Diol",https://bidd.group/NPASS/compound.php?compoundID=NPC275061
24762424,"3-Hydroxy-2,4,7-Trimethoxy-9,10-Dihydrophenanthrene",C17H18O4,286.32242,,CHEMBL400004,"2,4,7-Trimethoxy-9,10-Dihydrophenanthren-3-Ol",https://bidd.group/NPASS/compound.php?compoundID=NPC158142
24762425,"2,8-Dihydroxy-3,4,7-Trimethoxy-9,10-Dihydrophenanthrene",C17H18O5,302.32182,,CHEMBL254599,"2,5,6-Trimethoxy-9,10-Dihydrophenanthrene-1,7-Diol",https://bidd.group/NPASS/compound.php?compoundID=NPC10314
24762426,"2-Hydroxy-4,7-Dimethoxy-9,10-Dihydrophenanthrene",C16H16O3,256.29644,1000408-77-4,CHEMBL254600,Coelonin,https://bidd.group/NPASS/compound.php?compoundID=NPC170485
24762427,"1-(2-Hydroxy-3,4,7-trimethoxy-9,10-dihydrophenanthren-1-yl)-3,4,7-trimethoxy-9,10-dihydrophenanthren-2-ol",C₃₄H₃₄O₈,570.225368048,,,"2,2'-Dihydroxy-3,3',4,4',7,7'-hexamethoxy-9,9',10,10'-tetrahydro-1,1'-biphenanthrene",https://www.wikidata.org/wiki/Q104981059
24762428,"2,3,5-Trihydroxy-4,9-Dimethoxyphenanthrene",C16H14O5,286.27936,,CHEMBL254807,"4,9-Dimethoxyphenanthrene-2,3,5-Triol",https://bidd.group/NPASS/compound.php?compoundID=NPC105847
24777877,"(1S,2S,5R,6R,7S,8S,11S)-7-hydroxy-5-(hydroxymethyl)-11-[(2R)-1-hydroxypropan-2-yl]-6-methyl-9-oxatricyclo[6.2.1.02,6]undecan-10-one",C₁₅H₂₄O₅,284.162373868,,,"(1S,2S,5R,6R,7S,8S,11S)-7-hydroxy-5-(hydroxymethyl)-11-[(2R)-1-hydroxypropan-2-yl]-6-methyl-9-oxatricyclo[6.2.1.02,6]undecan-10-one",https://www.wikidata.org/wiki/Q105144222
24777879,"(1R,1aR,4R,4aS,7R,7aS,7bS)-1,4-bis(hydroxymethyl)-1,7-dimethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-ol",C₁₅H₂₆O₃,254.188194692,,,"(1R,1aR,4R,4aS,7R,7aS,7bS)-1,4-bis(hydroxymethyl)-1,7-dimethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-ol",https://www.wikidata.org/wiki/Q105328872
24777882,"(1S,2S,4S,4aR,8aS)-6-(hydroxymethyl)-1-methyl-4-propan-2-yl-3,4,4a,7,8,8a-hexahydro-2H-naphthalene-1,2-diol",C₁₅H₂₆O₃,254.188194692,,,Dendronobilin G,https://www.wikidata.org/wiki/Q104995867
26305,Nodakenetin,C14H14O4,246.25855,495-32-9,CHEMBL1464240,,
296119,beta-Sitosterol 3-O-beta-D-galactopyranoside,C₃₅H₆₀O₆,576.43898964,,,beta-Sitosterol 3-O-beta-D-galactopyranoside,https://www.wikidata.org/wiki/Q104415326
3037126,Dendrobine,,263.19,,,NPC109192,https://bidd.group/NPASS/compound.php?compoundID=NPC109192
3083597,Ayapin,,190.03,,,Ayapin,https://bidd.group/NPASS/compound.php?compoundID=NPC7163
3085362,Gigantol,C16H18O4,274.12050906,,,,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00030387
3086528,Chrysotobibenzyl,C19H24O5,332.16237388,,,,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00015296
332426,(-) Syringaresinol,,504.27,,,NPC165159,https://bidd.group/NPASS/compound.php?compoundID=NPC165159
355017,From Dendrobium nobile,,263.19,,,NPC171351,https://bidd.group/NPASS/compound.php?compoundID=NPC171351
356759,"2-Methoxy-5-[2-(3,4,5-trimethoxyphenyl)ethyl]phenol",,318.15,,,"2-Methoxy-5-(3,4,5-Trimethoxyphenethyl)Phenol",https://bidd.group/NPASS/compound.php?compoundID=NPC298757
42608199,Dendrobane A,C₁₅H₂₄O₃,252.172544628,,,Dendrobane A,https://www.wikidata.org/wiki/Q105134423
439246,Naringenin,,272.07,,,Naringenin,https://bidd.group/NPASS/compound.php?compoundID=NPC32441
442088,Evodiamine,C19H17N3O,303.35778,518-17-2,CHEMBL463165,NPC141612,https://bidd.group/NPASS/compound.php?compoundID=NPC141612
442523,Dendrine,C16H25NO2,263.37519,2115-91-5,,NPC292828,https://bidd.group/NPASS/compound.php?compoundID=NPC292828
442702,"7-Methoxy-9,10-dihydrophenanthrene-2,5-diol",C15H14O3,242.09429431,,,,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00002941
442705,Hircinol,C15H14O3,242.26985,41060-05-3,CHEMBL475652,Hircinol,https://www.wikidata.org/wiki/Q27106870
443023,"Syringaresinol, (+)-",C₂₂H₂₆O₈,418.162768,,,(+)-Syringaresinol,https://www.wikidata.org/wiki/Q7663351
443024,Acanthoside B,,580.22,,,Syringaresinol-Beta-D Glucoside,https://bidd.group/NPASS/compound.php?compoundID=NPC130449
44418770,"3-Methoxy-5-[2-(3-methoxyphenyl)ethyl]benzene-1,2-diol",C16H18O4,274.12050906,,,,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00015314
44418788,"1,4,7-Trihydroxy-5-Methoxyfluoren-9-One",,258.05,,,"1,4,7-Trihydroxy-5-Methoxyfluoren-9-One",https://bidd.group/NPASS/compound.php?compoundID=NPC216624
44445441,"3,4,7-Trimethoxy-9,10-dihydrophenanthren-2-ol",C₁₇H₁₈O₄,286.120509056,,,"9,10-Dihydro-3,4,7-trimethoxyphenanthrene-2-ol",https://www.wikidata.org/wiki/Q105225076
44445442,"2,4,7-Trimethoxyphenanthren-3-ol",C₁₇H₁₆O₄,284.104858992,,,"2,4,7-Trimethoxyphenanthrene-3-ol",https://www.wikidata.org/wiki/Q105213029
44445443,Bulbophyllanthrin,,270.09,,,Bulbophyllanthrin,https://bidd.group/NPASS/compound.php?compoundID=NPC243759
44445444,Ephemeranthol A,,272.1,,,Ephemeranthol A,https://bidd.group/NPASS/compound.php?compoundID=NPC69029
44445445,plicatol A,,300.1,,,Plicatol A,https://bidd.group/NPASS/compound.php?compoundID=NPC266006
44559639,Dendromoniliside A,,414.23,,,NPC50866,https://bidd.group/NPASS/compound.php?compoundID=NPC50866
44567193,"[(2S,3R,4S,5R)-3-acetyloxy-5-hydroxy-2-[[(1S,3R,6S,8R,9S,11S,12S,14S,15R,16R)-14-hydroxy-15-[(2R,5S)-5-(2-methoxypropan-2-yl)-2-methyloxolan-2-yl]-7,7,12,16-tetramethyl-9-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-pentacyclo[9.7.0.01,3.03,8.012,16]octadecanyl]oxy]oxan-4-yl] acetate",,882.5,,,NPC481842,https://bidd.group/NPASS/compound.php?compoundID=NPC481842
4486984,(+)-7-epi-Syringaresinol 4'-glucoside,C₂₈H₃₆O₁₃,580.215591212,,,(+)-7-epi-Syringaresinol 4'-glucoside,https://www.wikidata.org/wiki/Q105303113
46782954,Sucrose NF,,342.12,,,NPC213935,https://bidd.group/NPASS/compound.php?compoundID=NPC213935
46871897,"3,4,8-Trimethoxyphenanthrene-2,5-Diol",C17H16O5,300.30594,,CHEMBL1085553,"3,4,8-Trimethoxyphenanthrene-2,5-diol",https://www.wikidata.org/wiki/Q18353086
46871898,Epheneranthol C,C₁₅H₁₄O₄,258.089208928,,,Epheneranthol C,https://www.wikidata.org/wiki/Q105154728
46890966,"5-Methoxy-9,10-dihydrophenanthrene-2,4,7-triol",C₁₅H₁₄O₄,258.089208928,,,"5-Methoxy-9,10-dihydrophenanthrene-2,4,7-triol",https://www.wikidata.org/wiki/Q105188181
5315860,"Phenol, 4-[2-(3,4-dimethoxyphenyl)ethyl]-2,6-dimethoxy-",C18H22O5,318.14672381,,,,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00038758
5316531,"7-Hydroxy-2,12-dimethyl-13-propan-2-yl-10-oxa-2-azatetracyclo[5.4.1.18,11.04,12]tridecan-9-one",,279.18,,,NPC174885,https://bidd.group/NPASS/compound.php?compoundID=NPC174885
5316534,Dendrolasin,C15H22O,218.33457,23262-34-2,,,
5316539,Dendroxine,C17H25NO3,291.38529,,,NPC282302,https://bidd.group/NPASS/compound.php?compoundID=NPC282302
5316540,Dentatin,C20H22O4,326.38627,,,,
5318187,6-Hydroxydendroxine,C17H25NO4,307.3847,,,NPC170399,https://bidd.group/NPASS/compound.php?compoundID=NPC170399
5318188,24-Hydroxy-11-Deoxyglycyrrhetic Acid,C29H46O4,458.67313,,,,
5320179,Nobilonine,,293.2,,,NPC99816,https://bidd.group/NPASS/compound.php?compoundID=NPC99816
54675866,"3,4-Dihydroxybenzoate",,154.03,,,NPC156655,https://bidd.group/NPASS/compound.php?compoundID=NPC156655
566057,"2,12-Dimethyl-13-propan-2-yl-10-oxa-2-azatetracyclo[5.4.1.18,11.04,12]tridecan-9-one",,263.19,,,NPC298346,https://bidd.group/NPASS/compound.php?compoundID=NPC298346
5742590,Sitogluside,,576.44,,,Daucosterol,https://bidd.group/NPASS/compound.php?compoundID=NPC243728
5988,Sucrose,,342.12,,,Sucrose,https://bidd.group/NPASS/compound.php?compoundID=NPC130683
6029,Uridine,,244.07,,,Uridine,https://bidd.group/NPASS/compound.php?compoundID=NPC43246
60961,Adenosine,,267.1,,,Adenosine,https://bidd.group/NPASS/compound.php?compoundID=NPC156461
6325050,"methyl 2-[(1S,7S,8R,11R,12S)-2,12-dimethyl-9-oxo-13-propan-2-yl-10-oxa-2-azatetracyclo[5.4.1.18,11.04,12]tridecan-3-yl]acetate",,335.21,,,NPC96390,https://bidd.group/NPASS/compound.php?compoundID=NPC96390
6325643,"(4R,11R)-2,2,12-trimethyl-13-propan-2-yl-10-oxa-2-azoniatetracyclo[5.4.1.18,11.04,12]tridecan-9-one",,278.21,,,NPC151752,https://bidd.group/NPASS/compound.php?compoundID=NPC151752
636980,3-Methoxy-5-(2-phenylethyl)phenol,C₁₅H₁₆O₂,228.115029752,,,"Phenol, 3-methoxy-5-(2-phenylethyl)-",https://www.wikidata.org/wiki/Q72465991
640646,"3,4-Dimethoxyphenanthrene-2,5-Diol",C₁₆H₁₄O₄,270.089208928,,,"3,4-Dimethoxyphenanthrene-2,5-diol",https://www.wikidata.org/wiki/Q104971972
6432744,(-)-beta-Sitosterol,,414.39,,,NPC29,https://bidd.group/NPASS/compound.php?compoundID=NPC29
667495,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)-2,3-dihydro-4H-chromen-4-one",,272.07,,,NPC311485,https://bidd.group/NPASS/compound.php?compoundID=NPC311485
6802,,,283.09,,,Guanosine,https://bidd.group/NPASS/compound.php?compoundID=NPC61198
688305,"2-Amino-3,5-dibromobenzaldehyde",,655.78,,,NPC151242,https://bidd.group/NPASS/compound.php?compoundID=NPC151242
7121,Veratric Acid,,182.06,,,Veratric Acid,https://bidd.group/NPASS/compound.php?compoundID=NPC285776
71441453,"9H-Fluoren-9-one, 2,4,7-trihydroxy-5-methoxy-",,258.05,,,"2,4,7-Trihydroxy-5-Methoxyfluoren-9-One",https://bidd.group/NPASS/compound.php?compoundID=NPC18714
72,"3,4-Dihydroxybenzoic acid",C₇H₆O₄,154.027,,,"3,4-Dihydroxybenzoic acid",https://www.wikidata.org/wiki/Q418599
73665,Prochloraz,C₁₅H₁₆Cl₃N₃O₂,375.031,,,Prochloraz,https://www.wikidata.org/wiki/Q1401484
8417,Scoparone,,206.06,,,Scoparone,https://bidd.group/NPASS/compound.php?compoundID=NPC240722
8468,Vanillic Acid,,168.04,,,Vanillic Acid,https://bidd.group/NPASS/compound.php?compoundID=NPC111888
85115605,"2-[[4-hydroxy-1-(hydroxymethyl)-1,7-dimethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",C₂₁H₃₆O₈,416.2410181119998,,,"2-[[4-hydroxy-1-(hydroxymethyl)-1,7-dimethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",https://www.wikidata.org/wiki/Q105166803
85367589,"7-Hydroxy-11-(2-hydroxypropan-2-yl)-6-methyl-5-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one",C₂₁H₃₄O₁₀,446.215197288,,,"7-Hydroxy-11-(2-hydroxypropan-2-yl)-6-methyl-5-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one",https://www.wikidata.org/wiki/Q105230333
85830339,"2,6-Dimethoxy-4-[2-(3-methoxyphenyl)ethyl]phenol",,288.14,,,NPC209785,https://bidd.group/NPASS/compound.php?compoundID=NPC209785
86021565,Cannithrene 2,C₁₆H₁₆O₄,272.104858992,,,Cannithrene 2,https://www.wikidata.org/wiki/Q105132456
86821,"17-(5-ethyl-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",,414.39,,,NPC290613,https://bidd.group/NPASS/compound.php?compoundID=NPC290613
91387732,"1,1'-Bislusianthridin",C₃₀H₂₆O₆,482.172938552,,,"4,4',7,7'-Tetrahydroxy-2,2'-dimethoxy-9,9',10,10'-tetrahydro-1,1'-biphenanthrene",https://www.wikidata.org/wiki/Q105240985
91692850,beta-D-Fructofuranosyl alpha-D-glucopyranoside,,342.12,,,NPC16728,https://bidd.group/NPASS/compound.php?compoundID=NPC16728
932,"5,7-Dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",,272.07,,,"5,7-Dihydroxy-2-(4-Hydroxyphenyl)-2,3-Dihydrochromen-4-One",https://bidd.group/NPASS/compound.php?compoundID=NPC79943
9794438,"(6R)-4,4a-dimethyl-6-prop-1-en-2-yl-3,4,5,6,7,8-hexahydronaphthalen-2-one",,218.17,,,NPC4817,https://bidd.group/NPASS/compound.php?compoundID=NPC4817
985,Palmitic Acid,,256.24,,,Palmitic Acid,https://bidd.group/NPASS/compound.php?compoundID=NPC216630
nan,N-Methyldendrobium,C17H28NO2,278.40972,,,,
nan,Nobilonine,C17H27NO3,293.40117,,,,
nan,Nootkatone,C16H24,216.36176,,,,
